,Hs_m,Tp_s
2010-01-01 00:00:00,4.35682,11.297707
2010-01-01 03:00:00,4.161001,11.206398
2010-01-01 06:00:00,4.1231613,11.04673
2010-01-01 09:00:00,4.093586,11.074074
2010-01-01 12:00:00,4.266944,11.590187
2010-01-01 15:00:00,4.2125626,12.892921
2010-01-01 18:00:00,3.9518738,13.175636
2010-01-01 21:00:00,3.6914425,13.249367
2010-01-02 00:00:00,3.3324933,13.111183
2010-01-02 03:00:00,2.954492,12.781593
2010-01-02 06:00:00,2.6423614,12.396339
2010-01-02 09:00:00,2.3430016,11.997414
2010-01-02 12:00:00,2.170333,11.768898
2010-01-02 15:00:00,2.0900066,11.461769
2010-01-02 18:00:00,2.0219314,11.242531
2010-01-02 21:00:00,1.9926336,10.8548355
2010-01-03 00:00:00,2.1230106,8.4017105
2010-01-03 03:00:00,2.2570982,8.750832
2010-01-03 06:00:00,2.2887,9.265968
2010-01-03 09:00:00,2.6304398,9.8113785
2010-01-03 12:00:00,2.871794,15.837746
2010-01-03 15:00:00,2.7398672,15.613625
2010-01-03 18:00:00,2.6382308,15.079445
2010-01-03 21:00:00,2.7804956,15.260109
2010-01-04 00:00:00,2.7437596,15.005226
2010-01-04 03:00:00,2.971818,14.550148
2010-01-04 06:00:00,2.772632,13.942238
2010-01-04 09:00:00,2.751858,13.51548
2010-01-04 12:00:00,2.8507264,8.540871
2010-01-04 15:00:00,3.6970835,9.177101
2010-01-04 18:00:00,3.9633203,10.301613
2010-01-04 21:00:00,4.085428,11.456398
2010-01-05 00:00:00,4.4282174,12.611183
2010-01-05 03:00:00,4.501876,13.122414
2010-01-05 06:00:00,4.3975096,13.26255
2010-01-05 09:00:00,4.1916676,13.20591
2010-01-05 12:00:00,3.9383585,13.008644
2010-01-05 15:00:00,3.736556,12.663918
2010-01-05 18:00:00,3.4429564,12.335793
2010-01-05 21:00:00,3.1159348,12.1048355
2010-01-06 00:00:00,2.7262444,11.853859
2010-01-06 03:00:00,2.3944802,11.524757
2010-01-06 06:00:00,2.2455826,11.494484
2010-01-06 09:00:00,2.0092845,11.2020035
2010-01-06 12:00:00,2.0351562,10.992043
2010-01-06 15:00:00,1.9770534,10.827492
2010-01-06 18:00:00,1.7321148,10.64341
2010-01-06 21:00:00,1.6286094,10.364113
2010-01-07 00:00:00,1.5118392,10.070656
2010-01-07 03:00:00,1.5250506,9.890968
2010-01-07 06:00:00,2.1255634,5.430519
2010-01-07 09:00:00,2.4356546,6.5247574
2010-01-07 12:00:00,2.7670414,7.5965347
2010-01-07 15:00:00,3.0723302,8.393898
2010-01-07 18:00:00,3.5052433,8.643898
2010-01-07 21:00:00,3.721325,9.281593
2010-01-08 00:00:00,3.788738,10.124367
2010-01-08 03:00:00,3.7755349,10.779152
2010-01-08 06:00:00,3.5744908,11.369972
2010-01-08 09:00:00,3.4938774,11.663429
2010-01-08 12:00:00,3.2922182,11.631691
2010-01-08 15:00:00,3.0171118,11.6082535
2010-01-08 18:00:00,2.7936802,14.377296
2010-01-08 21:00:00,2.6247368,14.346535
2010-01-09 00:00:00,2.339323,14.086281
2010-01-09 03:00:00,2.1299038,13.834328
