,wave_dir_deg
2010-01-01 00:00:00,286.52393
2010-01-01 03:00:00,288.67395
2010-01-01 06:00:00,290.76672
2010-01-01 09:00:00,294.81274
2010-01-01 12:00:00,301.3291
2010-01-01 15:00:00,307.22778
2010-01-01 18:00:00,310.20447
2010-01-01 21:00:00,311.12158
2010-01-02 00:00:00,310.9884
2010-01-02 03:00:00,310.2588
2010-01-02 06:00:00,309.29077
2010-01-02 09:00:00,307.2212
2010-01-02 12:00:00,302.18213
2010-01-02 15:00:00,291.30225
2010-01-02 18:00:00,278.063
2010-01-02 21:00:00,268.3873
2010-01-03 00:00:00,255.36343
2010-01-03 03:00:00,252.46895
2010-01-03 06:00:00,250.13333
2010-01-03 09:00:00,246.4712
2010-01-03 12:00:00,248.42322
2010-01-03 15:00:00,257.0315
2010-01-03 18:00:00,260.70615
2010-01-03 21:00:00,262.2976
2010-01-04 00:00:00,261.9226
2010-01-04 03:00:00,248.16501
2010-01-04 06:00:00,250.03984
2010-01-04 09:00:00,248.45819
2010-01-04 12:00:00,246.11118
2010-01-04 15:00:00,242.61192
2010-01-04 18:00:00,249.57121
2010-01-04 21:00:00,256.0558
2010-01-05 00:00:00,258.89233
2010-01-05 03:00:00,262.37714
2010-01-05 06:00:00,265.52496
2010-01-05 09:00:00,268.4535
2010-01-05 12:00:00,272.16687
2010-01-05 15:00:00,279.18414
2010-01-05 18:00:00,285.15826
2010-01-05 21:00:00,288.7303
2010-01-06 00:00:00,288.6798
2010-01-06 03:00:00,287.53735
2010-01-06 06:00:00,286.07092
2010-01-06 09:00:00,284.12878
2010-01-06 12:00:00,271.2144
2010-01-06 15:00:00,270.4772
2010-01-06 18:00:00,272.79456
2010-01-06 21:00:00,273.5686
2010-01-07 00:00:00,274.04382
2010-01-07 03:00:00,281.38477
2010-01-07 06:00:00,323.24408
2010-01-07 09:00:00,328.46997
2010-01-07 12:00:00,325.8831
2010-01-07 15:00:00,324.44202
2010-01-07 18:00:00,325.731
2010-01-07 21:00:00,327.3221
2010-01-08 00:00:00,327.21304
2010-01-08 03:00:00,325.9624
2010-01-08 06:00:00,324.58926
2010-01-08 09:00:00,325.9612
2010-01-08 12:00:00,325.05597
2010-01-08 15:00:00,321.8518
2010-01-08 18:00:00,318.90698
2010-01-08 21:00:00,316.16003
2010-01-09 00:00:00,311.32214
2010-01-09 03:00:00,306.7981
2010-01-09 06:00:00,303.67468
2010-01-09 09:00:00,301.1537
2010-01-09 12:00:00,299.16565
2010-01-09 15:00:00,297.71167
2010-01-09 18:00:00,296.64062
2010-01-09 21:00:00,295.32666
2010-01-10 00:00:00,284.9729
2010-01-10 03:00:00,189.06389
2010-01-10 06:00:00,172.87631
2010-01-10 09:00:00,181.78146
2010-01-10 12:00:00,196.88405
2010-01-10 15:00:00,223.69696
2010-01-10 18:00:00,239.97002
2010-01-10 21:00:00,256.2895
2010-01-11 00:00:00,262.92505
2010-01-11 03:00:00,269.7588
2010-01-11 06:00:00,274.35962
2010-01-11 09:00:00,276.43945
2010-01-11 12:00:00,278.11902
2010-01-11 15:00:00,279.82104
2010-01-11 18:00:00,281.09778
2010-01-11 21:00:00,281.3994
2010-01-12 00:00:00,280.93787
2010-01-12 03:00:00,275.35388
2010-01-12 06:00:00,262.73547
2010-01-12 09:00:00,249.6856
