,wind_speed_10m_ms,wind_dir_10m_deg,wind_speed_100m_ms,wind_dir_100m_deg
2010-01-01 00:00:00,11.378973,274.8302,13.204857,274.92224
2010-01-01 03:00:00,12.063279,277.67377,14.090853,277.74454
2010-01-01 06:00:00,12.025712,283.16943,14.135208,282.98193
2010-01-01 09:00:00,11.216561,287.5844,13.07892,287.57388
2010-01-01 12:00:00,9.727643,286.9731,11.236833,287.26285
2010-01-01 15:00:00,8.175361,290.9848,9.316591,291.10974
2010-01-01 18:00:00,6.392903,293.27307,7.32722,293.2716
2010-01-01 21:00:00,4.3664255,273.0677,4.844563,273.33685
2010-01-02 00:00:00,3.005716,235.1017,3.3824823,238.34726
2010-01-02 03:00:00,3.0678418,170.86662,3.3293705,178.1266
2010-01-02 06:00:00,5.5364404,148.97723,6.937798,154.96484
2010-01-02 09:00:00,6.417103,157.74237,7.8686295,160.11589
2010-01-02 12:00:00,7.3655186,167.81735,8.536182,168.8306
2010-01-02 15:00:00,8.426762,174.66284,10.094843,175.18307
2010-01-02 18:00:00,7.4938126,169.12585,9.650453,170.77039
2010-01-02 21:00:00,8.286342,160.2584,10.853213,163.28871
2010-01-03 00:00:00,9.411889,187.46835,12.123617,189.86777
2010-01-03 03:00:00,9.562246,189.02046,12.3152,191.07913
2010-01-03 06:00:00,10.283869,188.19891,13.200242,190.22198
2010-01-03 09:00:00,11.76778,189.7618,15.422728,190.97939
2010-01-03 12:00:00,9.407525,216.05112,12.196055,216.33437
2010-01-03 15:00:00,4.769884,223.18446,6.1057086,224.32993
2010-01-03 18:00:00,5.108541,207.02075,6.7866087,209.3239
2010-01-03 21:00:00,7.244983,190.29037,9.008082,191.73576
2010-01-04 00:00:00,7.592204,159.18497,9.30127,161.99496
2010-01-04 03:00:00,10.877843,198.32564,14.275403,199.36266
2010-01-04 06:00:00,7.6959057,215.12195,9.400615,216.02565
2010-01-04 09:00:00,9.897383,212.3996,11.632248,212.80832
2010-01-04 12:00:00,9.216493,208.9018,10.945749,209.48418
2010-01-04 15:00:00,12.4871025,228.27782,14.934072,228.48874
2010-01-04 18:00:00,9.559528,247.50758,11.077252,248.0069
2010-01-04 21:00:00,8.863073,287.7022,10.21775,288.4006
2010-01-05 00:00:00,10.058553,287.52475,11.82655,288.10385
2010-01-05 03:00:00,9.309805,319.82477,11.035418,320.30893
2010-01-05 06:00:00,8.325558,330.08093,9.692373,330.76663
2010-01-05 09:00:00,8.651383,318.43634,9.950718,318.9668
2010-01-05 12:00:00,10.515676,318.8485,12.1327095,319.19284
2010-01-05 15:00:00,10.107036,316.58456,11.697619,316.78247
2010-01-05 18:00:00,9.725659,327.56387,11.23803,327.67212
2010-01-05 21:00:00,8.726101,329.43646,9.900795,329.2662
2010-01-06 00:00:00,6.568622,315.433,7.3739147,315.06473
2010-01-06 03:00:00,5.4172807,300.12897,6.0276084,299.64328
2010-01-06 06:00:00,4.862959,294.61578,5.3459496,293.588
2010-01-06 09:00:00,2.9854164,163.43288,3.125221,165.19624
2010-01-06 12:00:00,7.5848765,220.40166,8.724462,221.12488
2010-01-06 15:00:00,6.671138,276.6208,7.589778,276.43384
2010-01-06 18:00:00,4.7574916,274.49252,5.3367367,273.97977
2010-01-06 21:00:00,3.598735,278.1169,3.8859973,277.70734
2010-01-07 00:00:00,1.6757395,338.64047,1.9345925,339.35287
2010-01-07 03:00:00,9.201422,8.744415,10.629231,9.144531
2010-01-07 06:00:00,10.803069,1.692749,12.753474,1.9852905
2010-01-07 09:00:00,11.04539,357.33533,12.814276,357.3599
2010-01-07 12:00:00,11.571897,348.98523,13.364242,349.48495
2010-01-07 15:00:00,11.669777,345.81815,13.435736,346.24908
2010-01-07 18:00:00,12.958323,347.07135,15.23145,347.14822
2010-01-07 21:00:00,12.098141,354.66568,14.150911,354.61163
2010-01-08 00:00:00,11.715972,354.80423,13.561011,354.7577
2010-01-08 03:00:00,10.194531,6.2435303,11.597452,6.120697
